id,address
1152204,3326 W 29TH AVE
1152227,1814 S SUNSET WAY
1152247,1825 S VRAIN ST
1152257,3651 KRAMERIA ST
1152261,3660 KRAMERIA ST
1152268,2579 S UTICA ST
1152270,2244 S STUART ST
1152288,2393 S RALEIGH ST
1152290,281 N SHERMAN ST
1152298,86 N LINCOLN ST
1152308,41 N GRANT ST
1152336,3245 S NEWTON ST
1152342,1575 S QUIETO CT
1152348,1680 W MEXICO AVE
1152355,1570 S QUIVAS ST
1152359,1575 S QUIVAS ST
1152360,5280 EAGLE ST
1152366,5511 DEARBORN ST
1152370,5515 DEARBORN ST
1152375,3552 N MONROE ST
1152386,806 S SHERMAN ST
1152402,736 S SHERMAN ST
1191464,3621 PONTIAC ST
1191468,3690 NEWPORT ST
1191484,130 N PEARL ST APT 101
1191496,4501 QUIVAS ST
1191504,4331 RARITAN ST
1191509,4311 RARITAN ST
1191515,570 WINONA CT
1191516,611 VRAIN ST
1191526,660 VRAIN ST
1191529,643 VRAIN ST
1191530,659 VRAIN ST
1216026,242 S CORONA ST
1216031,93 S EMERSON ST
1216043,229 S CLARKSON ST
1234903,4860 OSCEOLA ST
1234910,4861 OSCEOLA ST
1329171,2823 S OTIS ST
1362683,810 S LEYDEN ST
1362695,995 S KRAMERIA ST
1362702,996 S KEARNEY ST
1373934,3014 E COLFAX AVE
1373935,3006 E COLFAX AVE
1373937,3000 E COLFAX AVE # 3002
1373938,3030 E COLFAX AVE
1373940,1527 SAINT PAUL ST
1373944,3380 S DAHLIA ST
1373960,3390 S DEXTER ST
1373963,3360 S DEXTER ST
1465101,532 OSCEOLA ST
1500358,4671 CLAYTON ST
1534041,2455 W CAITHNESS PL
1534042,2427 W ARGYLE PL
1534043,2634 W 33RD AVE
1534047,3913 LIPAN ST
1534054,9725 E HARVARD AVE APT 446
1534060,9700 E ILIFF AVE APT A2
1534063,9700 E ILIFF AVE APT K145
1534067,10 S IRVING ST
1534071,155 S IRVING ST
1534087,2727 S BENTON ST
1534101,2746 S SHERIDAN BLVD
1534113,7395 E EASTMAN AVE APT L101
1534124,7665 E EASTMAN AVE APT C206
1534140,124 S GROVE ST
1534158,980 HAZEL CT
1534193,1534 MEADE ST
1534195,1565 OSCEOLA ST
1534200,1577 NEWTON ST
1534205,1438 OSCEOLA ST
1534211,1415 OSCEOLA ST
1534213,1435 NEWTON ST
1539565,13042 OLMSTED PL
1539568,13061 OLMSTED PL
1539580,2818 W 1ST AVE
1539590,2735 W ELLSWORTH AVE
1539591,2695 W ELLSWORTH AVE
1539623,1547 ULSTER ST
1547843,4649 S LOWELL BLVD APT B
1547858,4571 S LOWELL BLVD APT C
1579283,1045 N PENNSYLVANIA ST APT 205
1579292,555 E 10TH AVE APT 3
1579675,3926 W 26TH AVE
1579676,2646 PERRY ST
1579689,2636 QUITMAN ST
1587292,1455 S ELIZABETH ST
1587305,1656 S ELIZABETH ST
1587306,1590 S YORK ST
1587307,1601 S COLUMBINE ST
1587315,1595 S COLUMBINE ST
1601862,1221 JASMINE ST
1617240,7101 W YALE AVE UNIT 904
1637014,3266 S STEELE ST
1640015,1059 JACKSON ST
1640016,1120 JACKSON ST
1640027,1209 HARRISON ST
1674699,1655 GAYLORD ST
1674702,1546 GRAPE ST
1674720,2854 N JACKSON ST
1674729,1981 WILLOW ST
1674751,510 S ELIOT ST
1674754,3120 W CUSTER PL
1674757,3134 W CUSTER PL
1688188,1229 S CANOSA CT
1688189,1321 S BRYANT ST
1688199,1311 S CLAY ST
1688204,1285 S CLAY ST
1697506,1170 VERBENA ST
1697515,1156 XENIA ST
1697517,1154 VERBENA ST
1697522,1110 XENIA ST
1697524,1150 XENIA ST
1697535,2545 QUEBEC ST
